x,y,z,interval_no,pause/unpause,data_sample_no,packet_no,App_Interval_no,RunType
5.6206055, -2.3066406, 2.0449219,1,0,1,1,1,1 
4.361328, -2.5541992, 2.065918,1,0,2,1,1,1 
3.1381836, -1.3232422, 2.296875,1,0,3,1,1,1 
2.8422852, 0.75097656, 2.4018555,1,0,4,1,1,1 
4.432617, 1.3374023, 1.3217773,1,0,5,1,1,1 
4.513672, 1.2695312, 1.1621094,1,0,6,1,1,1 
3.9433594, 1.3847656, 0.8256836,1,0,7,1,1,1 
3.230957, 1.0913086, 0.8647461,1,0,8,1,1,1 
4.019043, 0.68408203, 0.7319336,1,0,9,1,1,1 
4.477539, 0.1640625, 0.63916016,1,0,10,1,1,1 
3.7558594, 0.40966797, 1.449707,1,0,11,1,1,1 
3.7817383, 0.17626953, 1.6621094,1,0,12,1,1,1 
4.0844727, -0.05078125, 1.4194336,1,0,13,1,1,1 
3.9545898, -0.90722656, 0.7631836,1,0,14,1,1,1 
3.3452148, -2.109375, 0.2553711,1,0,15,1,1,1 
0.62939453, 0.9663086, 3.1298828,1,0,16,1,1,1 
-0.50634766, -0.26367188, 2.6191406,1,0,17,1,1,1 
-1.1308594, -0.92822266, 1.9047852,1,0,18,1,1,1 
-1.4018555, -0.4897461, 1.6723633,1,0,19,2,1,1 
-2.5483398, -0.8618164, 1.2797852,1,0,20,2,1,1 
-2.9003906, -0.171875, 1.0771484,1,0,21,2,1,1 
-3.2192383, 0.28125, 0.9448242,1,0,22,2,1,1 
-2.446289, 0.21582031, 0.77734375,1,0,23,2,1,1 
-1.6879883, 0.74658203, 0.29003906,1,0,24,2,1,1 
-1.1064453, 0.94189453, 0.30419922,1,0,25,2,1,1 
-0.32958984, 0.7080078, 0.5834961,1,0,26,2,1,1 
0.6826172, 0.37060547, 1.1733398,1,0,27,2,1,1 
1.1010742, -0.0048828125, 1.8876953,1,0,28,2,1,1 
1.6811523, 1.1821289, 4.1411133,1,0,29,2,1,1 
2.6020508, 1.8706055, 5.4506836,1,0,30,2,1,1 
3.588379, -2.3969727, 4.118164,1,0,31,2,1,1 
7.682617, -2.286621, 0.9589844,1,0,32,2,1,1 
5.7055664, 0.5214844, 3.0576172,1,0,33,2,1,1 
7.213867, 2.5185547, 1.9467773,1,0,34,2,1,1 
3.9023438, 2.7973633, 1.6660156,1,0,35,2,1,1 
1.9501953, 1.597168, 2.0390625,1,0,36,2,1,1 
3.21875, 0.8544922, 1.894043,1,0,37,3,1,1 
